Part_numb,timepoint,timesince_mns,sex_bio,age,ethnic,educ,i_rel_length,i_on_off,i_renews,i_init_brk,i_rel_stat,i_cohabit,i_ldr,m_curr_stat,contact,des_renew,i_avoid,i_anxiety,i_fbs,i_scc,i_rcse,satis,alts,invest,commit,i_loss_self,i_mot_ambig,ios,self_unc,part_unc,relat_unc,surveil,relat_talk,distress,rumin,amb_cog,amb_emot,cope_reapp,cope_accept,cope_selfmed
   14.00,0,.164271047227926,1,35,3,5,9.5,0,9999,5,4,0,0,1,4,1,4.33333333333333,2.83333333333333,1.83333333333333,3.4,1.4,4.5,5.5,3.33333333333333,2.66666666666667,1,2,5,2,2,2,3,3.71428571428571,1.66666666666667,2.83333333333333,.666666666666667,.5,1,1,1
   14.00,2,2.29979466119096,1,35,9999,9999,9.5,0,9999,9999,9999,9999,9999,1,2,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,1,3,1,1,1.42857142857143,1,1,1.33333333333333,2,1,2,1
   14.00,3,3.61396303901437,1,35,9999,9999,9.5,0,9999,9999,9999,9999,9999,1,3,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,1,4,1,1.75,1.42857142857143,1,1.33333333333333,.833333333333333,0,3.5,4,2
   34.00,0,.328542094455852,1,41,3,2,122.75,0,9999,7,6,0,0,1,4,1,3.4,1,2,7,3.4,1,7,1,1,2,2.5,1,3,4,3,1,4.42857142857143,4.16666666666667,1,0,-2,4,7,1
   34.00,4,4.76386036960986,1,41,9999,9999,122.75,0,9999,9999,9999,9999,9999,1,4,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,1,1,1,1,3.42857142857143,1.33333333333333,1.83333333333333,1.33333333333333,3.5,4,7,1
   54.00,0,.131416837782341,0,23,3,5,2.75,1,2,3,4,0,1,1,4,1,6,1,1,5.4,3.8,1.5,1.5,1.66666666666667,2,1.5,4.25,3,3,5,3,1,1,2,3.83333333333333,2.83333333333333,2.5,6.5,5,1.5
   95.00,0,.164271047227926,0,38,3,7,28,1,3,1,2,0,0,1,5,5,4.16666666666667,2.16666666666667,4.16666666666667,5,3.8,3.5,4,4,3.33333333333333,2.16666666666667,2.5,5,4,4,5,3,2,2.5,2.66666666666667,2.5,3,3.5,3,2.5
  175.00,0,.492813141683778,0,29,2,3,82,1,1,1,2,1,0,1,4,4,2,7,7,2.2,5.8,5,7,7,3.66666666666667,5.16666666666667,5.5,4,1,1,1,1,7,5.5,5.5,7,4,4,7,1
  175.00,3,3.61396303901437,0,29,9999,9999,82,1,9999,9999,9999,9999,9999,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,4,1,6,6,1,9999,2,2,1,1,1,4,1
  237.00,0,.328542094455852,1,31,3,4,27,1,2,4,4,1,1,1,5,6,3.83333333333333,4.66666666666667,3,5.2,6,6,4,4.33333333333333,6.33333333333333,3.83333333333333,2,3,3,1,5,1,6.14285714285714,5.5,5.16666666666667,3.5,.5,4.5,6.5,4
  242.00,0,.492813141683778,1,33,2,5,62.25,0,9999,4,2,1,0,1,1,1,4.16666666666667,3.75,4.16666666666667,5,4.4,3,4.5,3.66666666666667,4,1,2.25,1,4,4,4,5,9999,3.83333333333333,2.66666666666667,4,3,4,6,2
  260.00,0,.492813141683778,0,45,3,5,4.5,0,9999,1,5,0,1,1,4,4,3,6.83333333333333,7,1.8,6,2.5,2,4.33333333333333,3,5.16666666666667,2.25,3,1,1,3,1,1.85714285714286,4.66666666666667,5.16666666666667,4.66666666666667,2,5.5,4,7
  412.00,0,.887063655030801,1,24,2,5,27.25,1,5,4,1,0,0,1,6,6,3.66666666666667,4,4.5,4.4,3.4,4.5,3.5,5.33333333333333,3.66666666666667,4.33333333333333,2.75,6,3,5,2,3.75,4.57142857142857,3.83333333333333,4.33333333333333,2.33333333333333,4.5,4,4,3
  477.00,0,2.72689938398357,1,36,1,5,27.25,1,2,5,2,0,1,1,6,5,2.5,5.5,5.83333333333333,4,4.6,3,2.5,6,4.33333333333333,4.83333333333333,4.75,6,4,4,3,4.75,5.42857142857143,5,5.16666666666667,3.33333333333333,4.5,6,4,4.5
  504.00,0,.75564681724846,1,26,3,3,31.75,0,9999,5,2,1,0,1,4,6,3.66666666666667,3,4,3.6,4,5,6,5,5.66666666666667,1,5.25,5,3,4,2,5.25,4.71428571428571,6,5,2,0,4,3.5,4.5
  504.00,1,1.97125256673511,1,26,9999,9999,31.75,0,9999,9999,9999,9999,9999,1,1,6,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,5,3,2,1,5.75,9999,5.16666666666667,5.66666666666667,5.33333333333333,2,6.5,5,5
  504.00,2,2.98973305954825,1,26,9999,9999,31.75,0,9999,9999,9999,9999,9999,1,5,7,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,4,2,3,3,5.75,5.28571428571429,3.33333333333333,5,3.5,0,5.5,5,4.5
  504.00,3,3.97535934291581,1,26,9999,9999,31.75,0,9999,9999,9999,9999,9999,1,1,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,5,1,3,5.25,9999,3.5,4.83333333333333,3.16666666666667,-1.5,6,5.5,4.5
  504.00,4,5.05954825462012,1,26,9999,9999,31.75,0,9999,9999,9999,9999,9999,1,5,6,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,5,2,1,3,5.5,4.71428571428571,4.33333333333333,5.16666666666667,5.16666666666667,1.5,4.5,4.5,3
  504.00,5,6.99794661190965,1,26,9999,9999,31.75,0,9999,9999,9999,9999,9999,1,6,6,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,3,2,1,4,5,5.42857142857143,4.16666666666667,5.66666666666667,4.16666666666667,1.5,4,6,5
  547.00,0,.854209445585216,0,41,3,5,87.75,0,9999,1,7,1,0,1,3,1,3,1,1.33333333333333,6.8,3.8,1,5,1.66666666666667,1,1,1.75,1,1,4,1,1,5.28571428571429,1.16666666666667,1.16666666666667,.166666666666667,-1.5,3,5.5,1
  556.00,0,.0657084188911704,0,23,2,5,25,1,3,6,3,1,1,1,5,5,3.66666666666667,5.16666666666667,5.16666666666667,3.2,3.8,6.5,5.5,4.66666666666667,4.66666666666667,3.33333333333333,4.25,3,2,3,3,5.25,5.71428571428571,4.5,5,3.83333333333333,2,3.5,5.5,3.5
  632.00,0,.131416837782341,0,31,2,2,119,1,60,7,7,1,0,1,4,7,1.16666666666667,6.66666666666667,7,1,6,1.5,1.5,5.66666666666667,7,7,3.5,2,2,4,6,1,1.14285714285714,6,6.5,3.83333333333333,3.5,5,3,1
  657.00,0,.854209445585216,0,38,3,3,11.5,1,1,1,7,0,0,1,4,1,3.66666666666667,3.16666666666667,1,7,2.8,1,6.5,2.33333333333333,1,1,2.5,1,1,6,1,1,2.71428571428571,1.33333333333333,3.66666666666667,-.333333333333333,-1,1,7,3
  836.00,0,4.92813141683778,1,32,3,4,38.75,1,2,1,6,1,0,1,1,1,6,1,2,7,4.6,4,7,1,1,1,4,1,1,1,1,1,9999,1,1,1,-2,1,7,1
  846.00,0,.68993839835729,0,21,3,5,51.5,1,3,7,7,0,1,1,1,4,6,1,1,5.8,5.2,1,4,1,1,1,1,1,1,1,1,1,9999,2,1,1,-2,4,7,1
  846.00,4,4.99383983572895,0,21,9999,9999,51.5,1,9999,9999,9999,9999,9999,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,6,6,6,1,9999,1,1,1,1,2.5,6.5,1
  914.00,0,.0657084188911704,0,40,3,4,9.5,0,9999,7,5,1,0,1,3,4,2.33333333333333,4.33333333333333,3.83333333333333,5.6,3.8,3,3,3.66666666666667,3,5,3,2,4,4,4,3,3.71428571428571,5.16666666666667,4.16666666666667,4.33333333333333,2,2,2,2
  914.00,1,1.24845995893224,0,40,9999,9999,9.5,0,9999,9999,9999,9999,9999,1,4,4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,3,3,3,3,4,4,4.33333333333333,4.5,3.66666666666667,4,6,5,1
  914.00,2,2.16837782340862,0,40,9999,9999,9.5,0,9999,9999,9999,9999,9999,1,2,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,4,4,4,4,2,2.66666666666667,2,2,4,4,4,2.5
  914.00,3,3.25256673511294,0,40,9999,9999,9.5,0,9999,9999,9999,9999,9999,1,4,4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,3,3,3,4,2,2.66666666666667,2.16666666666667,4,4,4,6,2
  914.00,4,4.33675564681725,0,40,9999,9999,9.5,0,9999,9999,9999,9999,9999,1,4,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,5,5,5,2,3.85714285714286,2.66666666666667,3.33333333333333,4.33333333333333,3,2,4,2.5
  914.00,5,6.27515400410678,0,40,9999,9999,9.5,0,9999,9999,9999,9999,9999,1,3,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,3,3,3,3,4,3,3.33333333333333,2,4,0,6,6,3
  971.00,0,.75564681724846,0,48,3,4,20,1,4,7,2,1,1,1,5,6,2.83333333333333,5.16666666666667,6,3.8,6.4,5,5,5.33333333333333,5.66666666666667,5,3.25,1,2,3,3,5.5,6.14285714285714,5.16666666666667,5.66666666666667,2.83333333333333,2,5,5,1
  976.00,0,.75564681724846,1,32,3,5,3.5,1,2,6,7,0,0,1,2,4,2.33333333333333,4.83333333333333,3.16666666666667,3.6,7,3,2.5,2,2.33333333333333,6.5,4,1,3,2,1,1.25,3.57142857142857,3.83333333333333,6.33333333333333,6.33333333333333,-.5,4,4,3
  987.10,0,.591375770020534,0,43,3,4,30,1,2,4,7,1,0,1,3,4,4.66666666666667,2.83333333333333,3.5,3.4,4.2,3,6,3.33333333333333,3.66666666666667,2.5,3.75,4,4,5,2,5.5,4.42857142857143,3.33333333333333,4.16666666666667,3.66666666666667,.5,5,4,3.5
  987.60,0,.459958932238193,1,61,3,5,11,1,3,1,6,0,0,1,2,4,2.5,5.83333333333333,4,4.8,4.4,2,3,4,3,3.33333333333333,2,1,2,2,2,6,1,5.66666666666667,4.16666666666667,2.5,-.5,5.5,5.5,7
  987.60,2,2.49691991786448,1,61,9999,9999,11,1,9999,9999,9999,9999,9999,1,3,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,5,3,4,4,3.25,2,2.33333333333333,4.16666666666667,3,2,1.5,1.5,1
  987.60,2,4.69815195071869,1,61,9999,9999,11,1,9999,9999,9999,9999,9999,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,3,1,1,1,4,9999,4.5,4.16666666666667,-1.33333333333333,-2,1.5,4,6
  987.60,3,3,1,61,9999,9999,11,1,9999,9999,9999,9999,9999,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,1,1,1,2.5,9999,1.83333333333333,1,2.16666666666667,-2,2.5,2,2.5
